Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
FLR,0.0,0.0,0.0
FLS,8.0,12.0,6.0
FLT,3.0,9.0,6.0
FMC,16.0,9.0,7.0
FNF,2.0,10.0,13.0
FNV,0.0,3.0,6.0
FOF,4.0,9.0,7.0
FPF,3.0,10.0,10.0
FPL,0.0,0.0,0.0
FRT,2.0,4.0,6.0
FTNT,1.0,12.0,6.0
FTS,14.0,8.0,5.0
FTV,16.0,14.0,5.0
FUND,7.0,7.0,5.0
GAB,5.0,9.0,7.0
GAM,4.0,9.0,7.0
GCV,0.0,0.0,0.0
GD,8.0,20.0,7.0
GDL,0.0,0.0,0.0
GDV,5.0,10.0,7.0
GE,14.0,15.0,12.0
GEN,1.0,9.0,5.0
GER,0.0,0.0,0.0
GF,4.0,7.0,6.0
GGG,9.0,14.0,8.0
GGT,2.0,9.0,7.0
GGZ,5.0,7.0,5.0
GIB,1.0,8.0,6.0
GIL,1.0,5.0,4.0
GILD,0.0,14.0,8.0
GIS,8.0,9.0,4.0
GL,2.0,8.0,11.0
GLO,3.0,8.0,6.0
GLPI,6.0,4.0,5.0
GLQ,3.0,8.0,6.0
GLU,8.0,9.0,6.0
GLV,3.0,8.0,7.0
GLW,7.0,5.0,7.0
GM,10.0,13.0,8.0
GNTX,6.0,10.0,7.0
GOLD,15.0,12.0,5.0
GOOGL,2.0,11.0,11.0
GPC,4.0,5.0,4.0
GPN,1.0,11.0,7.0
GPS,1.0,9.0,5.0
GRF,3.0,10.0,8.0
GRMN,5.0,8.0,5.0
GRX,4.0,10.0,6.0
GS,1.0,13.0,12.0
GT,0.0,0.0,0.0
GUT,10.0,8.0,5.0
GWW,3.0,5.0,6.0
H,14.0,11.0,5.0
HAL,9.0,9.0,6.0
HAS,0.0,3.0,4.0
HBAN,2.0,11.0,8.0
HBI,1.0,8.0,5.0
HCA,4.0,17.0,7.0
HD,3.0,6.0,4.0
HES,22.0,7.0,7.0
HIG,2.0,6.0,9.0
HLF,12.0,11.0,8.0
HLT,7.0,7.0,4.0
HOG,3.0,6.0,6.0
HOLX,5.0,13.0,10.0
HON,11.0,10.0,9.0
HP,0.0,0.0,0.0
HPE,1.0,5.0,6.0
HPF,8.0,10.0,8.0
HPI,8.0,10.0,8.0
HPQ,0.0,5.0,6.0
HPS,8.0,10.0,8.0
HQH,1.0,13.0,7.0
HQL,0.0,12.0,6.0
HRL,13.0,11.0,6.0
HSIC,2.0,6.0,6.0
HST,3.0,6.0,5.0
HSY,11.0,11.0,5.0
HTD,11.0,10.0,7.0
HUBB,10.0,11.0,5.0
HUM,0.0,16.0,6.0
HUN,15.0,6.0,8.0
IAC,3.0,15.0,5.0
IAE,6.0,10.0,9.0
IAF,5.0,11.0,8.0
IBM,0.0,7.0,8.0
ICE,2.0,8.0,7.0
ICL,15.0,8.0,7.0
IDE,9.0,9.0,7.0
IDXX,3.0,7.0,9.0
IEX,8.0,13.0,6.0
IFF,10.0,5.0,6.0
IFN,4.0,7.0,7.0
IGA,5.0,10.0,7.0
IGD,5.0,10.0,7.0
IGI,5.0,11.0,8.0
IGT,0.0,0.0,0.0
IHD,6.0,10.0,10.0
IIF,0.0,0.0,0.0
ILMN,1.0,4.0,6.0
IMO,16.0,8.0,7.0
INCY,1.0,16.0,7.0
INGR,13.0,10.0,5.0
INTC,4.0,6.0,7.0
INTU,1.0,11.0,5.0
IONS,2.0,19.0,8.0
IP,14.0,4.0,5.0
IPG,0.0,5.0,5.0
IPGP,4.0,3.0,5.0
IQV,1.0,11.0,7.0
IRM,5.0,4.0,6.0
ISRG,4.0,10.0,10.0
IT,0.0,15.0,6.0
ITW,4.0,9.0,6.0
IVZ,1.0,10.0,10.0
J,5.0,11.0,6.0
JAZZ,2.0,16.0,8.0
JBHT,3.0,6.0,5.0
JCE,4.0,10.0,8.0
JCI,5.0,5.0,5.0
JEF,2.0,9.0,13.0
JEQ,4.0,8.0,8.0
JHS,4.0,11.0,8.0
JKHY,1.0,9.0,5.0
JLL,1.0,2.0,3.0
JNJ,1.0,16.0,9.0
JNPR,2.0,9.0,6.0
JPC,3.0,11.0,10.0
JPM,1.0,16.0,12.0
JPS,2.0,11.0,11.0
JRS,4.0,4.0,5.0
JWN,3.0,9.0,4.0
K,7.0,15.0,5.0
KAR,0.0,0.0,0.0
KEY,2.0,11.0,10.0
KEYS,2.0,2.0,5.0
KF,7.0,9.0,11.0
KHC,14.0,14.0,7.0
KIM,4.0,3.0,6.0
KLAC,7.0,5.0,5.0
KMB,8.0,8.0,6.0
KMF,8.0,7.0,3.0
KMI,8.0,7.0,3.0
KMX,0.0,8.0,4.0
KO,8.0,10.0,5.0
KR,7.0,9.0,5.0
KSS,2.0,6.0,4.0
KYN,0.0,0.0,0.0
L,1.0,4.0,12.0
LAMR,0.0,10.0,6.0
LAZ,1.0,10.0,12.0
LBRDK,2.0,11.0,9.0
LBTYA,6.0,10.0,8.0
LDOS,1.0,5.0,5.0
LEA,3.0,4.0,5.0
LECO,8.0,9.0,6.0
LEG,6.0,4.0,4.0
LEN,9.0,9.0,5.0
LGI,3.0,9.0,7.0
LH,0.0,12.0,7.0
LII,10.0,5.0,7.0
LKQ,3.0,4.0,3.0
LLY,3.0,17.0,12.0
LMT,5.0,16.0,7.0
LNC,2.0,6.0,10.0
LNG,11.0,8.0,3.0
LNT,10.0,6.0,6.0
LOW,4.0,5.0,3.0
LRCX,4.0,4.0,5.0
LSXMK,1.0,9.0,5.0
LULU,2.0,10.0,6.0
LUMN,5.0,12.0,7.0
LUV,11.0,15.0,6.0
LVS,1.0,8.0,9.0
LYB,17.0,2.0,6.0
M,0.0,0.0,0.0
MA,0.0,8.0,9.0
MAA,6.0,4.0,5.0
MAC,0.0,0.0,0.0
MAN,0.0,6.0,4.0
MAR,9.0,9.0,4.0
MAS,9.0,6.0,7.0
MAT,1.0,10.0,6.0
MCD,4.0,14.0,6.0
MCHP,15.0,9.0,7.0
MCK,2.0,7.0,6.0
MCN,7.0,11.0,7.0
MCO,0.0,5.0,5.0
MD,0.0,0.0,0.0
MDLZ,9.0,9.0,5.0
MDT,2.0,13.0,8.0
MDU,21.0,7.0,8.0
MET,1.0,5.0,9.0
META,1.0,21.0,11.0
MFC,1.0,8.0,8.0
MFD,7.0,8.0,5.0
MFV,4.0,9.0,6.0
MGA,4.0,9.0,5.0
MGM,2.0,13.0,11.0
MHK,6.0,4.0,4.0
MIDD,9.0,14.0,7.0
MKC,10.0,11.0,5.0
MKL,2.0,11.0,16.0
MLCO,2.0,8.0,10.0
MLM,19.0,5.0,9.0
MMC,0.0,8.0,11.0
MMM,12.0,14.0,8.0
MNST,12.0,11.0,5.0
MO,5.0,13.0,6.0
MOS,14.0,11.0,9.0
MPC,16.0,7.0,6.0
MRK,1.0,11.0,10.0
MRO,24.0,10.0,8.0
MRVL,6.0,7.0,6.0
MS,1.0,12.0,10.0
MSCI,2.0,7.0,8.0
MSFT,2.0,8.0,5.0
MSI,2.0,7.0,5.0
MSM,4.0,7.0,7.0
MTB,2.0,13.0,11.0
MTD,1.0,7.0,5.0
MU,7.0,5.0,6.0
MXE,9.0,9.0,7.0
NCLH,12.0,10.0,4.0
NCR,3.0,10.0,7.0
NCV,5.0,8.0,6.0
NCZ,5.0,8.0,6.0
NDAQ,2.0,5.0,5.0
NDSN,9.0,12.0,6.0
NEE,14.0,8.0,6.0
NEM,7.0,8.0,5.0
NEU,18.0,10.0,9.0
NFJ,4.0,10.0,7.0
NFLX,0.0,7.0,9.0
NI,14.0,10.0,5.0
NIE,3.0,10.0,7.0
NKE,3.0,7.0,7.0
NLY,8.0,4.0,6.0
NML,0.0,0.0,0.0
NOC,7.0,15.0,5.0
NOV,13.0,12.0,8.0
NOW,1.0,8.0,6.0
NRG,17.0,9.0,6.0
NRO,4.0,4.0,5.0
NSC,8.0,11.0,3.0
NTAP,3.0,7.0,6.0
NTR,13.0,8.0,6.0
NTRS,2.0,12.0,10.0
NUE,10.0,13.0,9.0
NVDA,2.0,5.0,6.0
NVR,7.0,8.0,5.0
NWL,6.0,4.0,3.0
NWSA,0.0,5.0,7.0
NXPI,9.0,7.0,6.0
NYCB,4.0,12.0,12.0
O,4.0,5.0,6.0
OC,8.0,3.0,5.0
OGE,16.0,11.0,6.0
OHI,7.0,5.0,6.0
OKE,12.0,11.0,3.0
OMC,0.0,9.0,7.0
ON,15.0,6.0,5.0
ORCL,1.0,8.0,6.0
ORI,2.0,11.0,15.0
ORLY,0.0,9.0,4.0
OTEX,5.0,8.0,4.0
OXY,25.0,12.0,7.0
PACW,2.0,10.0,14.0
PAI,6.0,11.0,9.0
PANW,1.0,8.0,6.0
PARAA,0.0,8.0,7.0
PAYX,1.0,10.0,7.0
PBA,11.0,7.0,3.0
PCAR,8.0,11.0,8.0
PCG,8.0,21.0,6.0
PDT,10.0,10.0,7.0
PEAK,3.0,2.0,4.0
PEG,12.0,9.0,5.0
PEO,15.0,9.0,7.0
PEP,5.0,7.0,4.0
PFD,2.0,10.0,10.0
PFE,3.0,13.0,10.0
PFG,1.0,7.0,10.0
PFO,2.0,10.0,10.0
PG,10.0,10.0,7.0
PGR,2.0,8.0,11.0
PH,9.0,14.0,6.0
PHM,9.0,7.0,5.0
PII,0.0,6.0,4.0
PKG,12.0,1.0,4.0
PKI,1.0,10.0,6.0
PLD,2.0,2.0,4.0
PM,4.0,11.0,9.0
PNC,2.0,12.0,9.0
PNR,7.0,10.0,6.0
PNW,15.0,10.0,6.0
PPG,9.0,8.0,7.0
PPL,20.0,8.0,6.0
PRGO,4.0,21.0,12.0
PRU,1.0,7.0,9.0
PSA,5.0,3.0,5.0
PSF,4.0,11.0,10.0
PSX,16.0,7.0,6.0
PTC,5.0,9.0,5.0
PVH,1.0,10.0,5.0
PWR,12.0,16.0,9.0
PXD,19.0,9.0,9.0
PYPL,1.0,10.0,5.0
QCOM,5.0,4.0,8.0
QGEN,2.0,7.0,7.0
QQQX,2.0,10.0,8.0
QRVO,13.0,8.0,7.0
QSR,5.0,14.0,5.0
RACE,6.0,12.0,6.0
RAD,0.0,0.0,0.0
RCI,5.0,12.0,7.0
RCL,9.0,8.0,4.0
RE,1.0,7.0,10.0
REG,4.0,3.0,4.0
REGN,0.0,11.0,7.0
RF,2.0,7.0,7.0
RFI,5.0,5.0,5.0
RGA,3.0,8.0,11.0
RHI,0.0,7.0,3.0
RIG,0.0,0.0,0.0
RJF,1.0,10.0,12.0
RL,1.0,7.0,5.0
RMD,3.0,12.0,11.0
RMT,0.0,0.0,0.0
RNP,4.0,7.0,7.0
RNR,3.0,10.0,13.0
ROK,5.0,7.0,6.0
ROL,2.0,11.0,7.0
ROP,5.0,13.0,6.0
ROST,2.0,8.0,6.0
RPM,19.0,12.0,10.0
RQI,5.0,5.0,5.0
RRC,26.0,10.0,10.0
RS,7.0,7.0,5.0
RSG,11.0,6.0,4.0
RVT,0.0,0.0,0.0
RY,1.0,11.0,6.0
SABR,1.0,14.0,8.0
SATS,2.0,11.0,10.0
SBAC,3.0,3.0,5.0
SBUX,6.0,14.0,4.0
SCCO,17.0,8.0,7.0
SCD,4.0,8.0,6.0
SCHW,2.0,10.0,12.0
SCI,0.0,10.0,6.0
SEE,16.0,2.0,3.0
SEIC,1.0,8.0,10.0
SGEN,2.0,17.0,8.0
SHW,13.0,9.0,7.0
SIG,0.0,0.0,0.0
SIRI,0.0,8.0,8.0
SITC,0.0,0.0,0.0
SIX,13.0,9.0,4.0
SJM,12.0,12.0,6.0
SLB,7.0,9.0,6.0
SLF,0.0,7.0,7.0
SLG,3.0,3.0,7.0
SLM,0.0,12.0,11.0
SMG,15.0,12.0,10.0
SNA,9.0,14.0,8.0
SNPS,3.0,6.0,4.0
SNV,2.0,10.0,11.0
SO,15.0,11.0,7.0
SON,12.0,2.0,3.0
SPG,4.0,4.0,6.0
SPGI,0.0,6.0,8.0
SPLK,1.0,11.0,6.0
SPR,11.0,11.0,10.0
SPXX,3.0,10.0,8.0
SQ,1.0,11.0,7.0
SRCL,15.0,7.0,3.0
SRE,12.0,7.0,6.0
SSNC,5.0,11.0,6.0
ST,4.0,3.0,5.0
STK,3.0,7.0,6.0
STLD,10.0,14.0,8.0
STT,2.0,11.0,9.0
STX,2.0,4.0,5.0
STZ,10.0,10.0,5.0
SU,20.0,6.0,5.0
SWK,6.0,13.0,8.0
SWKS,12.0,9.0,7.0
SWZ,3.0,10.0,8.0
SYF,0.0,10.0,7.0
SYK,4.0,14.0,11.0
SYY,3.0,5.0,5.0
T,2.0,13.0,7.0
TAL,0.0,11.0,8.0
TAP,7.0,9.0,6.0
TCOM,3.0,11.0,10.0
TD,1.0,12.0,8.0
TDG,13.0,18.0,8.0
TECK,12.0,7.0,4.0
TEF,2.0,9.0,7.0
TEL,6.0,5.0,5.0
TER,6.0,5.0,5.0
TFX,5.0,16.0,9.0
TGNA,0.0,0.0,0.0
TGT,2.0,8.0,5.0
THO,7.0,15.0,6.0
THQ,2.0,14.0,8.0
TJX,2.0,7.0,5.0
TMO,1.0,6.0,6.0
TMUS,5.0,13.0,8.0
TNL,10.0,11.0,4.0
TOL,10.0,8.0,5.0
TPR,1.0,7.0,5.0
TRGP,15.0,15.0,4.0
TRI,0.0,3.0,6.0
TRIP,1.0,15.0,9.0
TRMB,3.0,4.0,6.0
TROW,2.0,9.0,5.0
TRP,11.0,9.0,3.0
TRV,1.0,9.0,10.0
TSCO,3.0,7.0,4.0
TSLA,3.0,16.0,10.0
TSN,14.0,12.0,10.0
TT,7.0,4.0,5.0
TTC,6.0,9.0,6.0
TU,3.0,10.0,3.0
TWN,0.0,0.0,0.0
TXN,9.0,5.0,6.0
TXT,11.0,16.0,7.0
TY,4.0,9.0,7.0
TYG,0.0,0.0,0.0
UAA,2.0,8.0,6.0
UAL,11.0,13.0,5.0
UBS,1.0,11.0,10.0
UDR,3.0,4.0,5.0
UGI,15.0,12.0,7.0
UHAL,7.0,9.0,7.0
UHS,4.0,21.0,9.0
ULTA,4.0,7.0,4.0
UNH,0.0,12.0,6.0
UNM,1.0,9.0,8.0
UNP,9.0,12.0,4.0
UPS,5.0,10.0,5.0
URI,6.0,7.0,6.0
USA,4.0,10.0,8.0
USB,2.0,16.0,12.0
UTG,9.0,9.0,6.0
UTHR,2.0,17.0,8.0
V,1.0,8.0,8.0
VFC,1.0,7.0,5.0
VIPS,8.0,8.0,8.0
VLO,18.0,7.0,5.0
VMC,16.0,5.0,9.0
VMW,3.0,7.0,6.0
VNO,3.0,4.0,7.0
VOYA,2.0,12.0,11.0
VRSK,0.0,14.0,6.0
VRSN,5.0,11.0,6.0
VRTX,1.0,15.0,7.0
VTR,3.0,4.0,6.0
VZ,4.0,9.0,6.0
WAB,5.0,12.0,7.0
WAT,1.0,9.0,6.0
WBA,2.0,12.0,5.0
WCN,10.0,6.0,3.0
WDAY,1.0,6.0,6.0
WDC,1.0,4.0,6.0
WEC,15.0,7.0,5.0
WELL,4.0,3.0,5.0
WFC,2.0,15.0,16.0
WFRD,0.0,0.0,0.0
WHR,5.0,7.0,4.0
WLK,19.0,3.0,9.0
WM,8.0,5.0,3.0
WMB,10.0,10.0,3.0
WMT,4.0,14.0,6.0
WPC,4.0,5.0,6.0
WPM,0.0,3.0,4.0
WRB,2.0,8.0,12.0
WTRG,9.0,11.0,6.0
WTW,0.0,9.0,10.0
WU,1.0,6.0,5.0
WY,10.0,3.0,4.0
WYNN,4.0,12.0,11.0
X,16.0,10.0,6.0
XEL,13.0,7.0,4.0
XOM,19.0,10.0,8.0
XRAY,2.0,7.0,7.0
XYL,4.0,7.0,5.0
YUM,4.0,12.0,4.0
Z,1.0,13.0,10.0
ZBH,4.0,15.0,8.0
ZTR,9.0,9.0,6.0
ZTS,1.0,8.0,9.0
